"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WHIRLPOOL","EQ","06-Dec-2018","       1384.75","       1380.00","       1385.00","       1354.10","       1355.00","       1358.30","       1362.65","      22574","            30760441.25","       2080","      17792","         78.82"
"WHIRLPOOL","EQ","07-Dec-2018","       1358.30","       1351.10","       1365.05","       1311.95","       1339.00","       1341.35","       1333.70","      42440","            56602361.55","       3837","      29427","         69.34"
"WHIRLPOOL","EQ","10-Dec-2018","       1341.35","       1334.90","       1345.80","       1282.00","       1289.95","       1293.85","       1321.96","      49634","            65614306.15","       6272","      36760","         74.06"
"WHIRLPOOL","EQ","11-Dec-2018","       1293.85","       1287.00","       1301.85","       1275.45","       1288.00","       1285.60","       1284.40","      45140","            57977865.35","       6549","      25889","         57.35"
"WHIRLPOOL","EQ","12-Dec-2018","       1285.60","       1289.05","       1355.15","       1272.65","       1348.30","       1345.50","       1335.10","      78883","           105317025.70","       6805","      55163","         69.93"
"WHIRLPOOL","EQ","13-Dec-2018","       1345.50","       1369.70","       1390.00","       1341.10","       1385.20","       1380.45","       1356.94","     156363","           212175642.15","      10278","     139320","         89.10"
"WHIRLPOOL","EQ","14-Dec-2018","       1380.45","       1385.00","       1407.00","       1370.10","       1397.00","       1399.05","       1394.28","      31007","            43232491.50","       3096","      19539","         63.01"
"WHIRLPOOL","EQ","17-Dec-2018","       1399.05","       1400.00","       1419.75","       1388.00","       1416.00","       1414.75","       1404.17","      18395","            25829790.10","       1760","      11226","         61.03"
"WHIRLPOOL","EQ","18-Dec-2018","       1414.75","       1428.00","       1438.50","       1393.50","       1417.00","       1418.85","       1417.95","      61924","            87805232.05","       6956","      32960","         53.23"
"WHIRLPOOL","EQ","19-Dec-2018","       1418.85","       1435.00","       1436.00","       1398.15","       1401.50","       1404.65","       1409.99","      48822","            68838754.60","       4402","      32205","         65.96"
"WHIRLPOOL","EQ","20-Dec-2018","       1404.65","       1409.00","       1409.00","       1375.10","       1383.00","       1379.45","       1391.73","      59997","            83499452.50","       3233","      39617","         66.03"
"WHIRLPOOL","EQ","21-Dec-2018","       1379.45","       1388.80","       1389.40","       1329.50","       1339.00","       1333.45","       1346.79","      82631","           111286280.00","       6850","      61082","         73.92"
"WHIRLPOOL","EQ","24-Dec-2018","       1333.45","       1338.90","       1346.55","       1286.05","       1290.00","       1291.80","       1302.52","      51726","            67374250.15","       6687","      29010","         56.08"
"WHIRLPOOL","EQ","26-Dec-2018","       1291.80","       1290.00","       1319.80","       1270.00","       1311.00","       1306.50","       1299.08","      64267","            83488163.15","       6999","      32464","         50.51"
"WHIRLPOOL","EQ","27-Dec-2018","       1306.50","       1321.00","       1337.65","       1308.05","       1331.00","       1321.60","       1323.15","      48553","            64243097.70","       4665","      26577","         54.74"
"WHIRLPOOL","EQ","28-Dec-2018","       1321.60","       1331.00","       1382.00","       1326.10","       1368.00","       1365.80","       1350.66","      35242","            47599974.55","       2980","      19947","         56.60"
"WHIRLPOOL","EQ","31-Dec-2018","       1365.80","       1379.00","       1400.00","       1366.05","       1398.75","       1390.55","       1383.01","      64297","            88923078.45","       4814","      45004","         69.99"
"WHIRLPOOL","EQ","01-Jan-2019","       1390.55","       1419.75","       1419.75","       1385.40","       1409.70","       1404.60","       1404.03","      29846","            41904683.45","       2332","      16037","         53.73"
"WHIRLPOOL","EQ","02-Jan-2019","       1404.60","       1408.00","       1408.95","       1391.00","       1395.00","       1396.85","       1399.53","      80048","           112029472.05","       2553","      71057","         88.77"
"WHIRLPOOL","EQ","03-Jan-2019","       1396.85","       1395.00","       1406.30","       1385.55","       1389.00","       1390.70","       1398.50","      48851","            68318124.55","       4613","      29202","         59.78"
"WHIRLPOOL","EQ","04-Jan-2019","       1390.70","       1383.20","       1400.00","       1369.40","       1392.25","       1390.75","       1382.97","      58970","            81553793.35","      10793","      36490","         61.88"
"WHIRLPOOL","EQ","07-Jan-2019","       1390.75","       1397.75","       1449.40","       1397.15","       1440.00","       1428.60","       1411.70","      69973","            98780615.65","       3962","      58841","         84.09"
"WHIRLPOOL","EQ","08-Jan-2019","       1428.60","       1427.00","       1437.50","       1406.00","       1420.15","       1421.00","       1414.14","      73197","           103510482.45","       5444","      58658","         80.14"
"WHIRLPOOL","EQ","09-Jan-2019","       1421.00","       1438.00","       1471.95","       1422.95","       1449.00","       1460.85","       1462.75","      84118","           123043292.80","       6322","      37747","         44.87"
"WHIRLPOOL","EQ","10-Jan-2019","       1460.85","       1454.85","       1507.05","       1445.00","       1462.00","       1468.55","       1484.00","      68181","           101180383.15","       5740","      31963","         46.88"
"WHIRLPOOL","EQ","11-Jan-2019","       1468.55","       1472.00","       1485.00","       1460.00","       1478.80","       1481.70","       1477.23","      39902","            58944593.75","       2259","      24739","         62.00"
"WHIRLPOOL","EQ","14-Jan-2019","       1481.70","       1482.00","       1483.00","       1455.00","       1470.50","       1465.35","       1473.18","      22082","            32530697.70","       2379","      12915","         58.49"
"WHIRLPOOL","EQ","15-Jan-2019","       1465.35","       1479.00","       1479.00","       1452.15","       1460.00","       1460.10","       1460.98","      86559","           126460620.55","       6157","      66170","         76.44"
"WHIRLPOOL","EQ","16-Jan-2019","       1460.10","       1466.00","       1466.45","       1455.60","       1459.75","       1459.60","       1460.46","       7593","            11089252.30","        706","       3151","         41.50"
"WHIRLPOOL","EQ","17-Jan-2019","       1459.60","       1455.00","       1475.00","       1455.00","       1465.00","       1462.75","       1470.47","      67409","            99123187.55","       2877","      57379","         85.12"
"WHIRLPOOL","EQ","18-Jan-2019","       1462.75","       1480.00","       1485.90","       1458.00","       1460.05","       1460.60","       1475.88","      47834","            70597273.90","       3751","      31475","         65.80"
"WHIRLPOOL","EQ","21-Jan-2019","       1460.60","       1470.00","       1494.90","       1468.50","       1479.00","       1476.45","       1481.64","      36306","            53792462.65","       2714","      19245","         53.01"
"WHIRLPOOL","EQ","22-Jan-2019","       1476.45","       1470.00","       1480.00","       1451.60","       1463.00","       1467.15","       1466.18","      18839","            27621378.65","       1299","       9982","         52.99"
"WHIRLPOOL","EQ","23-Jan-2019","       1467.15","       1466.15","       1479.50","       1458.60","       1460.00","       1460.60","       1469.52","      14516","            21331557.95","       1429","       7590","         52.29"
"WHIRLPOOL","EQ","24-Jan-2019","       1460.60","       1466.60","       1499.00","       1460.00","       1499.00","       1480.50","       1467.83","      51870","            76136163.80","       6877","      21809","         42.05"
"WHIRLPOOL","EQ","25-Jan-2019","       1480.50","       1490.00","       1497.35","       1451.10","       1464.00","       1458.45","       1467.75","      26937","            39536722.40","       3022","      14292","         53.06"
"WHIRLPOOL","EQ","28-Jan-2019","       1458.45","       1470.00","       1475.00","       1430.60","       1462.00","       1464.00","       1464.36","      33199","            48615170.65","       2766","      18115","         54.56"
"WHIRLPOOL","EQ","29-Jan-2019","       1464.00","       1474.75","       1486.75","       1446.05","       1460.00","       1470.30","       1472.72","     102160","           150453441.90","       3856","      86725","         84.89"
"WHIRLPOOL","EQ","30-Jan-2019","       1470.30","       1484.00","       1495.10","       1461.05","       1485.00","       1488.80","       1483.20","      37271","            55280411.00","       6911","      25185","         67.57"
"WHIRLPOOL","EQ","31-Jan-2019","       1488.80","       1474.05","       1515.75","       1467.00","       1491.35","       1509.70","       1497.62","      31549","            47248441.35","       3932","      21525","         68.23"
"WHIRLPOOL","EQ","01-Feb-2019","       1509.70","       1494.00","       1549.00","       1494.00","       1527.00","       1539.75","       1538.08","      50676","            77943873.15","       6293","      35384","         69.82"
"WHIRLPOOL","EQ","04-Feb-2019","       1539.75","       1555.00","       1565.00","       1490.15","       1495.00","       1518.75","       1533.76","     112329","           172285912.40","      12915","      40073","         35.67"
"WHIRLPOOL","EQ","05-Feb-2019","       1518.75","       1355.00","       1499.00","       1311.55","       1460.00","       1457.90","       1441.30","     345139","           497450046.55","      28938","     111080","         32.18"
"WHIRLPOOL","EQ","06-Feb-2019","       1457.90","       1470.00","       1490.00","       1411.00","       1444.00","       1429.10","       1459.45","      91151","           133030513.10","      12675","      38139","         41.84"
"WHIRLPOOL","EQ","07-Feb-2019","       1429.10","       1440.00","       1455.00","       1424.00","       1428.90","       1433.20","       1438.92","      38716","            55709334.80","       3865","      27222","         70.31"
